,market_tms,btc_price,mkt_cap,total_volumes
1899,2021-08-03 06:00:37.201,38376.203530567254,720507464855.8705,720507464855.8705
1898,2021-08-03 05:00:11.139,38539.65741311252,723574359999.705,723574359999.705
1897,2021-08-03 04:01:37.906,38551.868163791005,725006815306.6555,725006815306.6555
1896,2021-08-03 03:01:14.613,39092.66277606349,734021581549.4943,734021581549.4943
1895,2021-08-03 02:01:52.257,38940.090585690465,731116980262.2698,731116980262.2698
1894,2021-08-03 01:00:02.316,39759.76930278085,749362969570.5729,749362969570.5729
1893,2021-08-03 00:01:45.838,39278.766508103676,737440183775.5553,737440183775.5553
1892,2021-08-02 23:01:51.783,39459.97147674889,740840958270.4218,740840958270.4218
1891,2021-08-02 22:00:19.916,39483.89974042468,736981615799.1107,736981615799.1107
1890,2021-08-02 21:01:06.491,38874.343392251496,729472773330.6282,729472773330.6282
1889,2021-08-02 20:01:35.438,39194.01402171843,735843822491.2523,735843822491.2523
1888,2021-08-02 19:01:24.508,39690.888679183714,745222306026.4553,745222306026.4553
1887,2021-08-02 18:01:00.470,39742.301307784786,746132893885.2113,746132893885.2113
1886,2021-08-02 17:01:16.002,39801.66995159137,746692480373.2793,746692480373.2793
1885,2021-08-02 16:02:07.634,39776.60414620247,746773921561.6344,746773921561.6344
1884,2021-08-02 15:01:32.893,39642.89469342562,743503443844.9441,743503443844.9441
1883,2021-08-02 14:01:55.988,39571.110212115185,742911465808.839,742911465808.839
1882,2021-08-02 13:00:22.790,39367.96214928364,736564056580.1051,736564056580.1051
1881,2021-08-02 12:00:07.516,39568.84064286051,743622921759.4955,743622921759.4955
1880,2021-08-02 11:01:04.551,39852.18206938044,748183869865.9967,748183869865.9967
1879,2021-08-02 10:02:15.851,39653.05825026962,744444532937.6493,744444532937.6493
1878,2021-08-02 09:02:20.638,39567.64205550218,743050212484.3639,743050212484.3639
1877,2021-08-02 08:00:52.723,40101.18400497393,752854615861.3799,752854615861.3799
1876,2021-08-02 07:00:59.933,40570.45805992078,750530550610.0758,750530550610.0758
1875,2021-08-02 06:02:29.440,39805.03945083087,747575947788.7954,747575947788.7954
1874,2021-08-02 05:02:02.947,39744.312526462374,746590191258.1166,746590191258.1166
1873,2021-08-02 04:00:48.695,39828.22994789517,747386549037.5254,747386549037.5254
1872,2021-08-02 03:02:28.588,39881.39391981362,746402610513.113,746402610513.113
1871,2021-08-02 02:01:52.931,39688.81510914467,745105908214.5493,745105908214.5493
