,market_tms,btc_price,mkt_cap,total_volumes
1919,2021-08-04 01:01:57.804,0.065512091926335,7662350.702116878,7662350.702116878
1918,2021-08-04 00:01:59.783,0.06555416879532601,7671592.618880704,7671592.618880704
1917,2021-08-03 23:00:09.030,0.065464271988469,7677851.500990266,7677851.500990266
1916,2021-08-03 22:00:10.754,0.065074276130257,7594905.848779099,7594905.848779099
1915,2021-08-03 21:01:05.750,0.06512569331506801,7609956.85456224,7609956.85456224
1914,2021-08-03 20:01:16.154,0.06514079437178401,7632992.31893834,7632992.31893834
1913,2021-08-03 19:00:29.717,0.065254488523438,7616939.240177979,7616939.240177979
1912,2021-08-03 18:00:50.461,0.06509137360632601,7620361.430115351,7620361.430115351
1911,2021-08-03 17:01:31.098,0.065224864298141,7627605.3265047865,7627605.3265047865
1910,2021-08-03 16:00:53.703,0.065409817211976,7645614.499216697,7645614.499216697
1909,2021-08-03 15:02:10.961,0.065455715637319,7670723.706894276,7670723.706894276
1908,2021-08-03 14:01:31.777,0.06544416192475401,7654178.399483179,7654178.399483179
1907,2021-08-03 13:01:00.346,0.065235524440831,7613041.221038338,7613041.221038338
1906,2021-08-03 12:01:06.885,0.064727265323616,7569899.331963903,7569899.331963903
1905,2021-08-03 11:01:27.720,0.06508811111590801,7613096.5982003845,7613096.5982003845
1904,2021-08-03 10:01:09.441,0.06461502147212901,7556316.867189872,7556316.867189872
1903,2021-08-03 09:00:10.247,0.064490547977103,7542014.417715319,7542014.417715319
1902,2021-08-03 08:02:24.633,0.064551784570286,7559232.183857951,7559232.183857951
1901,2021-08-03 07:01:07.569,0.064497302753296,7542402.3501364095,7542402.3501364095
1900,2021-08-03 06:00:03.412,0.06468731221552601,7565214.569880097,7565214.569880097
1899,2021-08-03 05:00:11.829,0.065386593571019,7659703.285318523,7659703.285318523
1898,2021-08-03 04:01:38.822,0.065323338221509,7642259.859237601,7642259.859237601
1897,2021-08-03 03:01:14.835,0.06584021825832401,7702039.106826793,7702039.106826793
1896,2021-08-03 02:01:52.410,0.06575267569128701,7739946.433659134,7739946.433659134
1895,2021-08-03 01:00:04.262,0.066358735003492,7818868.077231047,7818868.077231047
1894,2021-08-03 00:01:09.142,0.066403268391307,7783165.175308311,7783165.175308311
1893,2021-08-02 23:00:16.657,0.066581811496786,7789223.48122689,7789223.48122689
1892,2021-08-02 22:00:04.512,0.066833056227891,7830044.5580635285,7830044.5580635285
1891,2021-08-02 21:00:31.933,0.066830919566843,7815512.72680357,7815512.72680357
1890,2021-08-02 20:01:29.642,0.06629781495482301,7755731.6500134,7755731.6500134
1889,2021-08-02 19:01:25.981,0.066845386256558,7817182.049289835,7817182.049289835
1888,2021-08-02 18:01:09.388,0.066456356805386,7779352.504184539,7779352.504184539
1887,2021-08-02 17:01:14.755,0.06652554949883101,7777337.042664536,7777337.042664536
1886,2021-08-02 16:02:08.310,0.066413235023035,7765251.6774794245,7765251.6774794245
1885,2021-08-02 15:00:33.820,0.066081139915969,7724974.053355087,7724974.053355087
1884,2021-08-02 14:01:53.127,0.06583391678469601,7693982.073238287,7693982.073238287
1883,2021-08-02 13:00:25.116,0.065784808515524,7680366.352486304,7680366.352486304
1882,2021-08-02 12:00:08.105,0.06545199168349501,7662357.893856711,7662357.893856711
1881,2021-08-02 11:00:32.649,0.065412502397044,7649325.274807056,7649325.274807056
1880,2021-08-02 10:01:26.916,0.065515621803396,7643655.26192285,7643655.26192285
1879,2021-08-02 09:00:04.293,0.065230609556939,7568506.431161413,7568506.431161413
1878,2021-08-02 08:00:33.612,0.065102923756798,7603152.806517387,7603152.806517387
1877,2021-08-02 07:01:15.389,0.06539552636305601,7599252.64164841,7599252.64164841
1876,2021-08-02 06:00:59.181,0.064458532858855,7537593.922848097,7537593.922848097
1875,2021-08-02 05:03:34.623,0.06433155960294401,7533414.357394775,7533414.357394775
1874,2021-08-02 04:00:48.475,0.064428594624526,7530466.61185247,7530466.61185247
1873,2021-08-02 03:02:00.329,0.064512863346341,7533266.851813191,7533266.851813191
1872,2021-08-02 02:01:53.161,0.064079826866414,7493653.202765345,7493653.202765345
1871,2021-08-02 01:01:08.673,0.063708192235561,7454687.6524790665,7454687.6524790665
1870,2021-08-02 00:02:18.130,0.06407784946145101,7448840.986478314,7448840.986478314
1869,2021-08-01 23:01:40.814,0.06471179853304801,7566964.47894323,7566964.47894323
1868,2021-08-01 22:00:15.353,0.064466078566248,7548194.8309456,7548194.8309456
1867,2021-08-01 21:01:58.627,0.064703503168918,7561605.813548626,7561605.813548626
1866,2021-08-01 20:01:10.245,0.06400855410619301,7447919.512216101,7447919.512216101
1865,2021-08-01 19:00:14.529,0.063258187612115,7399015.336016436,7399015.336016436
1864,2021-08-01 18:01:23.153,0.062629194015947,7297536.8274852475,7297536.8274852475
1863,2021-08-01 17:00:51.490,0.062444312937036006,7285254.782569814,7285254.782569814
1862,2021-08-01 16:02:23.152,0.062432837833360004,7318277.265084892,7318277.265084892
1861,2021-08-01 15:00:27.531,0.062418653432085004,7287451.256199709,7287451.256199709
1860,2021-08-01 14:00:41.786,0.062252053630740004,7279026.588497621,7279026.588497621
1859,2021-08-01 13:02:02.814,0.06231452219006701,7290569.968065261,7290569.968065261
1858,2021-08-01 12:01:59.071,0.062271985321852005,7269463.67147196,7269463.67147196
1857,2021-08-01 11:00:59.484,0.06218886541802301,7268367.157321855,7268367.157321855
1856,2021-08-01 10:00:10.215,0.062265376187519005,7279787.059673115,7279787.059673115
1855,2021-08-01 09:00:28.268,0.062131099850969006,7264765.2394665815,7264765.2394665815
1854,2021-08-01 08:02:31.193,0.062145819369669,7267714.5796916615,7267714.5796916615
1853,2021-08-01 07:01:50.781,0.062279585362711005,7282006.513819201,7282006.513819201
1852,2021-08-01 06:00:09.960,0.06229925970905201,7289532.591995394,7289532.591995394
1851,2021-08-01 05:00:52.324,0.062168941518735005,7250633.33138459,7250633.33138459
1850,2021-08-01 04:01:11.174,0.061906606627867004,7209973.497077413,7209973.497077413
1849,2021-08-01 03:01:07.401,0.06183220203293101,7241791.447390848,7241791.447390848
1848,2021-08-01 02:01:15.190,0.061487241208068005,7174863.045580687,7174863.045580687
1847,2021-08-01 01:00:00.658,0.061322193262242,7116497.916008831,7116497.916008831
1846,2021-08-01 00:02:31.437,0.060825328404251006,7117867.1605456015,7117867.1605456015
1845,2021-07-31 23:02:06.741,0.060618277099103,7083670.291297993,7083670.291297993
1844,2021-07-31 22:02:31.046,0.06052486350041301,7079671.149112849,7079671.149112849
1843,2021-07-31 21:00:48.129,0.059990314856803006,7006139.832190243,7006139.832190243
1842,2021-07-31 20:01:05.975,0.059303419562211,6937221.890564967,6937221.890564967
1841,2021-07-31 19:00:24.281,0.05942713629273701,6948139.789147702,6948139.789147702
1840,2021-07-31 18:01:48.085,0.059195120651516005,6916346.769847281,6916346.769847281
1839,2021-07-31 17:01:24.356,0.059232835941655,6931553.054776796,6931553.054776796
1838,2021-07-31 16:01:07.198,0.059159670712572006,6906946.847161059,6906946.847161059
1837,2021-07-31 15:01:11.046,0.05907947944504301,6898677.924377097,6898677.924377097
1836,2021-07-31 14:01:28.852,0.059129520581625,6913124.0834438745,6913124.0834438745
