,Unnamed: 0,market_tms,btc_price,mkt_cap,total_volumes,prev,btc_price2,btc_price3,btc_price4,btc_price5,btc_price6,btc_price7,btc_price8,btc_price9,btc_price10,btc_price11,btc_price12,btc_price13,btc_price14,btc_price15,btc_price16,btc_price17,btc_price18,btc_price19,btc_price20,btc_price24,btc_price72,next,n_bp,sell,go,p_go,p_sell,o3_go,o3_sell,conviction_go,conviction_sell,sell_signal,go_signal,dt,bitcoin,isPartial,buy_q,sell_q,q,sell_rev,buy_cost,TRev,TCost,curr_val,cash_flow,hold_val,pnl,algo_rt,trade_ind
2022,2022,2021-08-08 09:26:43.276,44627.81968099991,839153551980.9993,839153551980.9993,44863.978956586136,44745.899318793025,44878.3400425266,44941.878040570395,44861.087390218476,44791.27465419463,44659.87902454712,44569.777156150216,44487.077657731046,44438.28761051019,44409.25890679404,44366.21841952979,44338.1405132562,44301.10977047342,44266.58519155,44230.45498978333,44199.10553791615,44163.03896666329,44129.77005869018,44089.798496828,43960.34845132939,42306.41299987327,43814.52692181021,-0.009532780280728348,0,0,0.9801467095387166,0.836379521226503,0.9710227404028998,0.8818510393147445,29.44715313041372,2.275441994832918,0,0,2021-08-08,20.0,False,0.0,0.0,19.350246477580203,0.0,0.0,68245.97075436988,757798.0653601866,863559.310584353,-689552.0946058168,66941.72952149987,107065.48645703642,2.5993833326736784,0
2021,2021,2021-08-08 08:00:03.102,44863.978956586136,841893446869.0056,841893446869.0056,45157.58257593421,45010.78076626017,45005.41603861419,44887.56349004781,44721.4619181708,44594.179934347,44479.67528775331,44406.978781665945,44389.49756328931,44340.28626101193,44323.177932265506,44287.51800185666,44264.079027690634,44228.85774322809,44194.324788016675,44157.71782036585,44126.972395410434,44085.531511545145,44049.82693496584,44010.81144393024,43897.04057425282,42215.15127261837,43814.52692181021,-0.009532780280728348,0,0,0.9800754072063815,0.8403041238988863,0.9547863693013947,0.8741988754567813,17.520795920336468,2.2421703517000853,0,0,2021-08-08,20.0,False,0.0,0.0,19.350246477580203,0.0,0.0,68245.97075436988,757798.0653601866,868129.0507749133,-689552.0946058168,67295.9684348792,111280.98773421731,2.653605562447644,0
2020,2020,2021-08-08 07:01:43.976,45157.58257593421,849400839926.433,849400839926.433,44842.52004600221,45000.05131096821,44769.71094148142,44588.47710362548,44466.897950523206,44363.347764573824,44334.28227557857,44285.04085790166,44291.0749587345,44258.02167180146,44251.858071447794,44221.184663706386,44193.63645876555,44153.47262808896,44121.11085271501,44079.07806416126,44044.09062767984,44004.20919464526,43971.795952894645,43936.07907839046,43838.10408540565,42122.31679300042,43814.52692181021,-0.009532780280728348,0,0,0.9821913179723739,0.8425369597956434,0.9712830258185506,0.8696222718826518,25.398803128547595,2.083849714253646,0,0,2021-08-08,20.0,False,0.0,0.0,19.350246477580203,0.0,0.0,68245.97075436988,757798.0653601866,873810.3531760081,-689552.0946058168,67736.37386390132,116521.88470629002,2.7202261954619913,0
2019,2019,2021-08-08 06:00:01.546,44842.52004600221,842515794591.497,842515794591.497,44236.22109798704,44539.37057199463,44407.24326576954,44314.49871923429,44259.79757862444,44207.978228375585,44235.79944022474,44220.65720639473,44224.96838486842,44212.623891685,44190.511255964964,44159.49302592932,44113.30879741237,44075.62164071555,44037.045275607496,44000.7160563074,43964.32776161068,43928.769267176816,43900.362203886274,43869.29318122622,43786.914242224746,42028.2135064539,43814.52692181021,-0.009532780280728348,0,0,0.980173891201338,0.8443375164804748,0.9695224222399461,0.864969260259483,29.221644504446203,2.030522791425177,0,0,2021-08-08,20.0,False,0.0,0.0,19.350246477580203,0.0,0.0,68245.97075436988,757798.0653601866,867713.8155659739,-689552.0946058168,67263.78006900332,110897.94089115379,2.648702180837709,0
2018,2018,2021-08-08 05:00:08.948,44236.22109798704,831169552178.0745,831169552178.0745,44314.01082110188,44275.11595954446,44221.75417269903,44160.2763767795,44156.15887812673,44177.2049534081,44205.51497256472,44214.145193596894,44200.279398501545,44180.04797943749,44128.47479589366,44087.29196514542,44037.934484018704,44003.86945616463,43964.38683700731,43929.70223580926,43893.21077274297,43862.09022393739,43838.224158566154,43814.50015237393,43744.98227432036,41932.81860914513,43814.52692181021,-0.009532780280728348,0,0,0.9821816787112881,0.8483429071279235,0.9682257182352605,0.8750247924018769,22.823396734646764,2.134223087546473,0,0,2021-08-08,20.0,False,0.0,0.0,19.350246477580203,0.0,0.0,68245.97075436988,757798.0653601866,855981.7814827828,-689552.0946058168,66354.33164698057,100075.35522998546,2.508196266106756,0
2017,2017,2021-08-08 04:00:59.712,44314.01082110188,830499011008.9811,830499011008.9811,44022.77395060531,44168.3923858536,44098.79858085998,44111.354198147375,44198.251028689476,44227.30205419915,44222.77541462907,44212.09817297468,44159.816560373416,44116.14091141176,44046.10913439717,44010.37470899365,43969.804428310556,43933.576485962505,43895.01763461119,43859.23645037763,43830.96967513182,43804.625803875824,43790.776146181684,43769.27232400494,43705.93064548256,41836.21316968702,43830.1405795005,-0.010919125410579378,0,0,0.9801643611077319,0.8398170236019439,0.9692414911237844,0.8602257954345138,28.629909066850967,2.124198869063274,0,0,2021-08-08,20.0,False,0.0,0.0,19.350246477580203,0.0,0.0,68245.97075436988,757798.0653601866,857487.0317984776,-689552.0946058168,66471.01623165281,101463.92096100806,2.5264385398803633,0
2016,2016,2021-08-08 03:01:54.761,44022.77395060531,826391992196.0602,826391992196.0602,44035.635601127375,44029.20477586634,44123.909815434774,44231.13357442214,44256.35307970881,44257.64256717329,44201.42093132028,44154.84124183217,44072.465262450096,44025.00105621932,43974.64028359009,43936.208613669325,43897.34854361446,43858.69901645259,43823.455266144054,43795.14322909046,43778.28193261984,43757.071277109746,43747.768501828185,43730.029781320714,43668.36042691838,41739.17764273176,43853.85428275937,-0.0038370973177536127,0,0,0.9781459955111372,0.843441999921354,0.959142999843276,0.869144037267268,20.35367705841734,2.2287399295617574,0,0,2021-08-08,20.0,False,0.0,0.0,19.350246477580203,0.0,0.0,68245.97075436988,757798.0653601866,851851.52657101,-689552.0946058168,66034.16092590797,96265.27103928528,2.457810165064373,0
2015,2015,2021-08-08 02:01:43.643,44035.635601127375,826980981258.1151,826980981258.1151,44401.59410887904,44218.61485500321,44338.357333409505,44345.42171004991,44258.93205463775,44201.48216626339,44108.26155234406,44051.84667443374,43977.536849988544,43933.236184367895,43897.77694374853,43854.55735755407,43820.04948929071,43785.60203453932,43766.83119203684,43742.04619793496,43735.86062159965,43718.121985006845,43712.29106081324,43689.69770537766,43635.09893733722,41642.781640314315,43896.74411454603,-0.003154070213483795,0,0,0.9781351278623255,0.8449422265998949,0.9587810873810007,0.853100309360852,20.137780798204517,2.263199501269333,0,0,2021-08-08,20.0,False,0.0,0.0,19.350246477580203,0.0,0.0,68245.97075436988,757798.0653601866,852100.4026787204,-689552.0946058168,66053.45340169106,96494.8546712126,2.4608601019601224,0
2014,2014,2021-08-08 01:03:41.497,44401.59410887904,831196288273.7478,831196288273.7478,44514.60551475258,44458.09981181581,44352.486086690296,44234.03724876379,44144.03227788902,44066.786781853414,43995.43179652344,43923.75241578934,43888.93551874724,43836.79697254394,43811.33777135958,43771.589328782095,43751.15457978791,43722.51082402866,43717.261203833084,43699.39092176046,43700.38334841404,43677.43261040826,43667.104349942056,43647.89399116083,43604.42290831083,41547.6638746372,43955.34990211978,-0.010050184361962478,0,0,0.9781427457764489,0.8525672214859187,0.9581368180070737,0.8473423978678432,19.910955001609757,2.2904095657188113,0,0,2021-08-08,20.0,False,0.0,0.0,19.350246477580203,0.0,0.0,68245.97075436988,757798.0653601866,859181.7900042826,-689552.0946058168,66602.39116331856,103027.30423514728,2.546900981115072,0
2013,2013,2021-08-08 00:00:00.890,44514.60551475258,835858732510.638,835858732510.638,43979.13920837698,44246.872361564776,44115.588410837285,44046.195073651514,43989.5412858178,43914.70874099511,43852.073035055226,43799.69615384811,43784.658426340626,43748.51394131175,43731.84088620459,43701.56063996977,43693.86706826941,43677.08207847935,43681.52063968786,43660.699433240974,43654.481872402495,43635.822024428446,43628.68363237961,43612.70743336146,43577.178019135026,41454.20550421953,44039.93253471645,-0.010663308694914053,0,0,0.9782317898317284,0.8439401198905924,0.97205486905756,0.822642056494644,32.778163670329945,2.206648063157675,0,1,2021-08-08,20.0,False,0.32778163670329946,0.0,19.350246477580203,0.0,14591.07025282732,68245.97075436988,757798.0653601866,861368.5885627134,-689552.0946058168,66771.90827212887,105044.58568476772,2.5731853170446857,1
