,Unnamed: 0,market_tms,btc_price,mkt_cap,total_volumes,prev,btc_price2,btc_price3,btc_price4,btc_price5,btc_price6,btc_price7,btc_price8,btc_price9,btc_price10,btc_price11,btc_price12,btc_price13,btc_price14,btc_price15,btc_price16,btc_price17,btc_price18,btc_price19,btc_price20,btc_price24,btc_price72,next,n_bp,sell,go,p_go,p_sell,o3_go,o3_sell,conviction_go,conviction_sell,sell_signal,go_signal,dt,ethereum,isPartial,buy_q,sell_q,q,sell_rev,buy_cost,TRev,TCost,curr_val,cash_flow,hold_val,pnl,algo_rt,trade_ind
2021,2021,2021-08-08 07:01:44.014,0.070283476859035,8248574.304661353,8248574.304661353,0.07005682967331,0.0701701532661725,0.07008378978682975,0.07010258194996913,0.07018432164498678,0.07025126362012239,0.07035542088717782,0.07042091069929256,0.07047057861332216,0.07051238593908961,0.07051324238352256,0.07052798163321024,0.0704987911309701,0.07049482930216049,0.07047896578692592,0.07048064544698743,0.07048851006663917,0.07049839365345854,0.07051351766104416,0.07052267091820505,0.07050841286282329,0.06861932320315163,0.0683907352283643,-0.02774587479183721,0,0,0.9526878094275114,0.8291631759158122,0.9660784267078307,0.9123047589619364,6.505654911347972,1.3265436103739388,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.52957277051191,-34.02193960391167,1.9679373520529797,4.5396958145472635,3.3068294373351823,0
2020,2020,2021-08-08 06:00:14.430,0.07005682967331,8204208.52209416,8204208.52209416,0.069938022941664,0.06999742630748701,0.07012137411310851,0.0702339011460415,0.07031820559525799,0.070398453370644,0.07048640051140731,0.0705463610521785,0.07055419326485704,0.07058183610572712,0.07054272088289788,0.070536339255359,0.07049086747335088,0.0704844351424686,0.07048232510704891,0.07049029285005362,0.07050827724027792,0.07051809489777427,0.07053182417536595,0.07054147733455175,0.07048941453788869,0.06859731986693723,0.0683907352283643,-0.02774587479183721,0,0,0.9469558534967787,0.8305106403249664,0.962177376200006,0.911609160660596,5.859404260333772,1.298450506269839,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.39887471717718,-34.02193960391167,1.9615912308526802,4.41534388241283,3.2508990726337683,0
2019,2019,2021-08-08 05:00:08.824,0.069938022941664,8180671.891121345,8180671.891121345,0.070552620895796,0.07024532191873001,0.0703464281789745,0.07040143071562376,0.07047870114603,0.07057598362129296,0.07060632159294968,0.07064551660934636,0.07060947894659717,0.07059505882331177,0.07052995762782012,0.07050332798239634,0.07047800281158632,0.0704790878949915,0.07049826059305833,0.0705063171236179,0.0705279125552706,0.0705390328983588,0.0705511304937375,0.07055890398316214,0.07045614330995535,0.06857740834091869,0.0683907352283643,-0.02774587479183721,0,0,0.9449750368218608,0.8353972416756021,0.951711387346619,0.9152922457415041,6.487204756564611,1.3490303983439178,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.33036379126594,-34.02193960391167,1.958264642366592,4.350159544987678,3.221435985143686,0
2018,2018,2021-08-08 04:00:56.300,0.070552620895796,8237591.32395132,8237591.32395132,0.070342447982642,0.070447534439219,0.07045643325227299,0.07055073532810274,0.07067326609655589,0.07071421929786854,0.07068471162574301,0.0706614133752539,0.07058063870002632,0.07053395857307947,0.0704766983369725,0.07046163610561142,0.07048017297839664,0.0704812394277244,0.07051437365417748,0.07052387248812389,0.07055015324144696,0.07056250116037315,0.0705666774725868,0.07056348629817914,0.07039882979630686,0.06855996819732374,0.0683907352283643,-0.02774587479183721,0,0,0.9511857022217087,0.8348615344731606,0.9574282572750309,0.9106987382300724,6.242822196136424,1.3207363058612993,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.68477699931711,-34.02193960391167,1.975473385082288,4.687364010323152,3.372780137520253,0
2017,2017,2021-08-08 03:01:54.402,0.070342447982642,8226244.295943403,8226244.295943403,0.070588216148012,0.070465332065327,0.07064503740393249,0.07077819941595362,0.07075517249918122,0.0707341917040715,0.07063811512476481,0.07057249812144203,0.07048727844613256,0.07044976533654129,0.07044657387425028,0.07044222346210734,0.07048230587705215,0.07049406523791792,0.07053337132207031,0.07055186364888015,0.07057484907929931,0.07058354429172417,0.07056029512377153,0.07054881449600288,0.07031049242372608,0.0685456872580618,0.0683907352283643,-0.02774587479183721,0,0,0.9434190345247802,0.8343620561485164,0.919420568951689,0.9095102806604011,5.347472671942623,1.3181239523003403,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.56357897726777,-34.02193960391167,1.969588543513976,4.572050829842122,3.321322818869087,0
2016,2016,2021-08-08 02:01:42.813,0.070588216148012,8257725.691051556,8257725.691051556,0.071061269337064,0.070824742742538,0.07091136142797475,0.070850072406467,0.07071321090896178,0.07061766330247672,0.07050688111811926,0.07044788417076249,0.07041225222695,0.07039025975764962,0.07043787304996439,0.07044662469619105,0.07050582459878366,0.07052812866039074,0.07057035597568997,0.07058800218221276,0.070592239504149,0.07058944595081522,0.07053733386823421,0.07050634582732188,0.0701938973181359,0.06853413050414627,0.06846537968859898,-0.030073524665388707,0,0,0.9446564935790117,0.8370862548454108,0.9471788615594231,0.9130990479459944,6.158827614548707,1.2947534990428724,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.7053033083366,-34.02193960391167,1.976470052144336,4.706893652280598,3.3814646962011583,0
2015,2015,2021-08-08 01:03:09.325,0.071061269337064,8301442.723076141,8301442.723076141,0.070934690889759,0.07099798011341149,0.07078878338495925,0.07062423688985438,0.07052211569599166,0.07043222431698139,0.07038888722340575,0.07033091212858175,0.07036826728834919,0.07037322672979165,0.07045537634241764,0.07048534800782613,0.07055043272199782,0.07057758542253607,0.07060564838873555,0.07061838197394252,0.07058665239748142,0.07056163355268019,0.07047535778640952,0.07042828012613962,0.07005131670350713,0.06852465099924546,0.06857902653117305,-0.034931022609756,0,1,0.942285212233689,0.8367749783198637,0.9669521102445152,0.9210965470202133,6.125112527299331,1.3253665371080792,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.978093507496204,-34.02193960391167,1.9897155414377918,4.966438362146744,3.496054465432751,0
2014,2014,2021-08-08 00:00:48.070,0.070934690889759,8290341.661594783,8290341.661594783,0.070224482423255,0.070579586656507,0.0704596903947495,0.07039477335997887,0.07034233293797111,0.07027852024264901,0.07027293703375775,0.070278574522377,0.07037818617123408,0.0704252758197802,0.07051531967323461,0.07055974420397083,0.07060473812307433,0.07063737904432947,0.07063111555914947,0.07061946976547978,0.07053661470787899,0.07049460355822385,0.07038120246586967,0.07031985955946089,0.06988705639908348,0.06851786896026224,0.06872058802432028,-0.031213258811259137,0,1,0.9464260994958953,0.8427871307658652,0.9771543397402116,0.9212519077125559,6.626513002874749,1.322480114302489,0,0,2021-08-08,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.905100954758446,-34.02193960391167,1.9861713449132519,4.8969900059335245,3.4655425718808797,0
2013,2013,2021-08-07 23:01:52.219,0.070224482423255,8252004.872961898,8252004.872961898,0.070455105842729,0.070339794132992,0.07032985632520826,0.07026331929010575,0.0702147075473269,0.07020200170333883,0.07028421201099624,0.07035667484577304,0.07047236546832628,0.07054270952485973,0.07060416873470703,0.07065899561307626,0.07067001996558464,0.07067959412577438,0.07060782397181012,0.07057411478292172,0.07045259240856871,0.07039481279723799,0.07025851665305212,0.07018066649853998,0.06970450460671228,0.068514407689006,0.06888604011479947,-0.01905948270844504,0,0,0.9507920475503155,0.8426412118246109,0.9750902462283536,0.9048444573117898,6.352353416157273,1.2551429582307856,0,0,2021-08-07,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.49555312059055,-34.02193960391167,1.96628550785114,4.507328008827741,3.2923059702319555,0
2012,2012,2021-08-07 22:00:28.301,0.070455105842729,8250634.915895096,8250634.915895096,0.07018473119212,0.0703199185174245,0.07019678225500325,0.07015191755662525,0.07018929585935078,0.07026787649061422,0.07042913768054981,0.07051904200651098,0.07061305358139316,0.07068602057917382,0.07071382249144546,0.07073702238257465,0.07068916828596411,0.07066274816531669,0.07054040559403334,0.07048112935856822,0.07033703318590726,0.07025778070685121,0.07010281634402783,0.07000828685708152,0.06950457970840122,0.06851385403549191,0.06907618409464585,-0.019571636882658394,0,0,0.9525865034687333,0.8449428245968832,0.9796631485152093,0.894070934923427,6.718368836218294,1.2877883963063437,0,0,2021-08-07,36.0,False,0.0,0.0,576.6586199456324,0.0,0.0,1.7112057661987494,35.73314537011042,40.62854410339157,-34.02193960391167,1.972742963596412,4.633861535883488,3.3489433856277557,0
